"","X1","name","spp","region","obslat1","gamlat1","gamhlat1","obslong1","gamlong1","gamhlong1","obsdepth1","gamdepth1","gamhdepth1","obslat2","gamlat2","gamhlat2","obslong2","gamlong2","gamhlong2","obsdepth2","gamdepth2","gamhdepth2","gamdepth","taxa"
"1",2,"Albatrossia pectoralis","Albatrossiapectoralis","AFSC_Aleutians",-0.00116641478543131,0.000592425934771059,0.000689064161209804,-0.0247972478411265,-0.0433905055598668,-0.0831349836023518,-0.198708738679516,-2.79561520427069,-1.1408978573839,-0.00116641478543131,0.000592425934771059,0.000689064161209804,-0.0247972478411265,-0.0433905055598668,-0.0831349836023518,-0.198708738679516,0,-1.1408978573839,-2.79561520427069,"NA"
"2",17,"Anoplopoma fimbria","Anoplopomafimbria","AFSC_Aleutians",-0.00961469225295326,0.00011279097471225,0.00326869422565202,-0.206347579879899,0.028630726601252,-0.0314059856200716,1.10832803188167,2.06063242936569,0.239788413716093,-0.00961469225295326,0.00011279097471225,0.00326869422565202,-0.206347579879899,0.028630726601252,-0.0314059856200716,1.10832803188167,0,0.239788413716093,2.06063242936569,"NA"
"3",25,"Atheresthes spp.","Atheresthessp","AFSC_Aleutians",0.00447771520474205,0.00584987862682026,0.0090300037472571,0.0588704279539164,-0.0566221212875811,0.00359660462149209,-1.16562777972559,-1.90086882554305,-0.501135774184931,0.00447771520474205,0.00584987862682026,0.0090300037472571,0.0588704279539164,-0.0566221212875811,0.00359660462149209,-1.16562777972559,0,-0.501135774184931,-1.90086882554305,"NA"
"4",28,"Bathymaster signatus","Bathymastersignatus","AFSC_Aleutians",-0.00818959655836808,0.00671391478685066,0.00651335716057198,0.0333604253801701,-0.042081530969091,-0.0474052508417043,-0.480387391816237,-0.224728634127645,-0.522234190624043,-0.00818959655836808,0.00671391478685066,0.00651335716057198,0.0333604253801701,-0.042081530969091,-0.0474052508417043,-0.480387391816237,0,-0.522234190624043,-0.224728634127645,"NA"
"5",32,"Bathyraja spp.","Bathyrajasp","AFSC_Aleutians",0.0133393446411658,-0.00164819323744974,0.00391822175333785,-0.128337750950622,-0.0278926976834587,-0.0361676957013247,-1.89884754866761,0.187725617018732,-0.857564008070179,0.0133393446411658,-0.00164819323744974,0.00391822175333785,-0.128337750950622,-0.0278926976834587,-0.0361676957013247,-1.89884754866761,0,-0.857564008070179,0.187725617018732,"NA"
"6",34,"Berryteuthis magister","Berryteuthismagister","AFSC_Aleutians",0.00975574552606371,0.0158665467107293,0.0103342342316968,0.262368991513037,-0.3268040912859,-0.0536281069757729,1.15815311152342,1.08271000467317,-0.600619256466574,0.00975574552606371,0.0158665467107293,0.0103342342316968,0.262368991513037,-0.3268040912859,-0.0536281069757729,1.15815311152342,0,-0.600619256466574,1.08271000467317,"NA"
"7",45,"Chionoecetes bairdi","Chionoecetesbairdi","AFSC_Aleutians",0.0612299664933921,0.008668367683724,0.0233575931423004,0.34549117765865,-0.0315188885324875,0.085680898044499,-3.17723924966159,0.434819905753951,-0.856580156423955,0.0612299664933921,0.008668367683724,0.0233575931423004,0.34549117765865,-0.0315188885324875,0.085680898044499,-3.17723924966159,0,-0.856580156423955,0.434819905753951,"NA"
"8",50,"Chlamys spp.","Chlamyssp","AFSC_Aleutians",0.00258438730961645,0.00266456772449884,0.00303439248404717,-0.0582004080116915,0.0501503853426531,0.0180822281898137,-0.870900605325511,-0.0459618445267599,-0.912721685692841,0.00258438730961645,0.00266456772449884,0.00303439248404717,-0.0582004080116915,0.0501503853426531,0.0180822281898137,-0.870900605325511,0,-0.912721685692841,-0.0459618445267599,"NA"
"9",85,"Gadus macrocephalus","Gadusmacrocephalus","AFSC_Aleutians",0.00941112647307422,0.000828213784104178,0.00558895407699619,0.0555506155376079,0.0334231743906642,0.0141510249282079,-1.11844184723227,-0.892501812224264,-0.756563395578332,0.00941112647307422,0.000828213784104178,0.00558895407699619,0.0555506155376079,0.0334231743906642,0.0141510249282079,-1.11844184723227,0,-0.756563395578332,-0.892501812224264,"NA"
"10",94,"Glyptocephalus zachirus","Glyptocephaluszachirus","AFSC_Aleutians",0.00614142513920976,0.00439768203466874,0.0163615039401327,0.0576780703949718,-0.0502548779184975,0.0504405600625798,-0.860288345920633,-2.2865418108895,-1.87534638435334,0.00614142513920976,0.00439768203466874,0.0163615039401327,0.0576780703949718,-0.0502548779184975,0.0504405600625798,-0.860288345920633,0,-1.87534638435334,-2.2865418108895,"NA"
"11",98,"Gymnocanthus galeatus","Gymnocanthusgaleatus","AFSC_Aleutians",0.000748898645220555,0.000530251519080835,0.0053478450452102,-0.228370615237919,-0.0483638290802942,-0.0627865287517685,-0.860627834576709,0.0414992422081131,-0.591926280473405,0.000748898645220555,0.000530251519080835,0.0053478450452102,-0.228370615237919,-0.0483638290802942,-0.0627865287517685,-0.860627834576709,0,-0.591926280473405,0.0414992422081131,"NA"
"12",102,"Hemilepidotus jordani","Hemilepidotusjordani","AFSC_Aleutians",0.0159621532083811,0.00611331088402357,0.00148673305776777,0.0731879215765605,-0.0251474148116298,0.180782114219426,-1.15321686842893,-0.557666909966372,-0.959484989875248,0.0159621532083811,0.00611331088402357,0.00148673305776777,0.0731879215765605,-0.0251474148116298,0.180782114219426,-1.15321686842893,0,-0.959484989875248,-0.557666909966372,"NA"
